iter	Passed	Remaining
137	4947	12977
138	4980	12935
139	5010	12884
140	5051	12861
141	5086	12822
142	5115	12770
143	5149	12730
144	5182	12689
145	5215	12645
146	5245	12596
147	5281	12560
148	5316	12524
149	5350	12484
150	5381	12438
151	5412	12391
152	5444	12347
153	5480	12312
154	5522	12292
155	5562	12266
156	5595	12224
157	5630	12187
158	5665	12150
159	5698	12110
160	5730	12066
161	5770	12039
162	5802	11996
163	5836	11957
164	5870	11919
165	5905	11883
166	5941	11846
167	5976	11809
168	6010	11771
169	6045	11735
170	6080	11697
171	6109	11650
172	6139	11604
173	6179	11577
174	6215	11543
175	6252	11510
176	6286	11472
177	6320	11433
178	6353	11394
179	6386	11353
180	6420	11316
181	6451	11272
182	6485	11234
183	6520	11197
184	6550	11152
185	6580	11108
186	6619	11079
187	6652	11039
188	6687	11003
189	6716	10959
190	6750	10921
191	6781	10878
192	6816	10842
193	6852	10809
194	6887	10772
195	6922	10736
196	6957	10700
197	6991	10663
198	7027	10629
199	7067	10600
200	7100	10562
201	7130	10518
202	7160	10476
203	7194	10438
204	7230	10404
205	7266	10370
206	7301	10334
207	7336	10299
208	7371	10263
209	7407	10229
210	7437	10186
211	7466	10143
212	7501	10108
213	7541	10079
214	7574	10040
215	7604	9998
216	7640	9964
217	7670	9922
218	7700	9880
219	7735	9844
220	7771	9810
221	7805	9774
222	7835	9732
223	7870	9698
224	7905	9661
225	7935	9620
226	7975	9591
227	8006	9551
228	8041	9516
229	8076	9481
230	8111	9445
231	8146	9410
232	8185	9380
233	8220	9344
234	8255	9308
235	8289	9273
236	8325	9238
237	8359	9202
238	8392	9165
239	8428	9130
240	8462	9095
241	8493	9055
242	8529	9020
243	8565	8986
244	8596	8947
245	8637	8917
246	8673	8884
247	8703	8844
248	8738	8808
249	8771	8771
250	8810	8740
251	8849	8708
252	8879	8668
253	8910	8629
254	8948	8597
255	8985	8563
256	9018	8527
257	9056	8494
258	9092	8460
259	9128	8425
260	9163	8390
261	9195	8353
262	9234	8321
263	9269	8286
264	9304	8251
265	9339	8215
266	9370	8177
267	9406	8143
268	9447	8113
269	9483	8078
270	9514	8040
271	9549	8005
272	9580	7966
273	9617	7932
274	9655	7899
275	9694	7868
276	9730	7833
277	9766	7799
278	9798	7761
279	9829	7722
280	9869	7692
281	9908	7659
282	9943	7624
283	9979	7589
284	10014	7554
285	10049	7519
286	10086	7486
287	10125	7453
288	10160	7418
289	10193	7381
290	10228	7346
291	10266	7312
292	10305	7280
293	10345	7248
294	10383	7215
295	10422	7183
296	10458	7148
297	10494	7113
298	10536	7083
299	10569	7046
300	10606	7011
301	10642	6977
302	10678	6942
303	10714	6907
304	10750	6873
305	10791	6841
306	10827	6806
307	10859	6769
308	10895	6734
309	10928	6697
310	10970	6667
311	11005	6631
312	11040	6596
313	11077	6562
314	11115	6528
315	11147	6491
316	11191	6460
317	11232	6428
318	11269	6394
319	11301	6357
320	11339	6323
321	11372	6286
322	11416	6255
323	11457	6223
324	11495	6189
325	11528	6153
326	11561	6116
327	11598	6082
328	11642	6051
329	11681	6017
330	11719	5983
331	11760	5951
332	11798	5916
333	11836	5882
334	11880	5851
335	11915	5815
336	11953	5781
337	11992	5748
338	12027	5711
339	12063	5676
340	12101	5642
341	12144	5610
342	12183	5576
343	12221	5542
344	12256	5506
345	12294	5472
346	12340	5441
347	12375	5405
348	12414	5371
349	12450	5335
350	12489	5301
351	12528	5267
352	12579	5238
353	12615	5202
354	12654	5168
355	12692	5134
356	12726	5097
357	12766	5063
358	12812	5032
359	12854	4998
360	12888	4962
361	12927	4928
362	12967	4893
363	13000	4857
364	13044	4824
365	13083	4790
366	13122	4755
367	13155	4718
368	13195	4684
369	13235	4650
370	13281	4618
371	13320	4583
372	13360	4548
373	13399	4514
374	13433	4477
375	13471	4442
376	13515	4409
377	13554	4374
378	13591	4339
379	13630	4304
380	13667	4268
381	13701	4232
382	13747	4199
383	13782	4163
384	13819	4127
385	13858	4092
386	13890	4055
387	13923	4019
388	13965	3985
389	14003	3949
390	14043	3915
391	14081	3879
392	14118	3844
393	14155	3808
394	14202	3775
395	14240	3739
396	14273	3703
397	14306	3666
398	14343	3630
399	14380	3595
400	14417	3559
401	14466	3526
402	14505	3491
403	14542	3455
404	14579	3419
405	14618	3384
406	14658	3349
407	14692	3312
408	14724	3276
409	14758	3239
410	14796	3204
411	14834	3168
412	14877	3134
413	14915	3098
414	14953	3062
415	14986	3026
416	15024	2990
417	15071	2956
418	15111	2921
419	15149	2885
420	15186	2849
421	15221	2813
422	15253	2776
423	15296	2741
424	15337	2706
425	15375	2670
426	15414	2635
427	15446	2598
428	15484	2562
429	15530	2528
430	15566	2492
431	15600	2455
432	15633	2419
433	15671	2383
434	15707	2347
435	15750	2311
436	15788	2276
437	15826	2240
438	15871	2205
439	15910	2169
440	15943	2133
441	15988	2098
442	16023	2061
443	16060	2025
444	16098	1989
445	16138	1953
446	16179	1918
447	16220	1882
448	16261	1847
449	16294	1810
450	16328	1774
451	16368	1738
452	16406	1702
453	16453	1667
454	16494	1631
455	16529	1594
456	16568	1558
457	16610	1523
458	16649	1487
459	16696	1451
460	16736	1415
461	16774	1379
462	16809	1343
463	16847	1307
464	16885	1270
465	16933	1235
466	16967	1198
467	17006	1162
468	17044	1126
469	17086	1090
470	17123	1054
471	17174	1018
472	17215	982
473	17254	946
474	17288	909
475	17326	873
476	17361	837
477	17402	800
478	17445	764
479	17479	728
480	17518	691
481	17554	655
482	17593	619
483	17642	583
484	17677	546
485	17712	510
486	17746	473
487	17784	437
488	17824	400
489	17869	364
490	17909	328
491	17947	291
492	17985	255
493	18024	218
494	18065	182
495	18107	146
496	18144	109
497	18183	73
498	18222	36
499	18255	0
